% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 96.27   28.458804       62410       456           fdatasync
  1.14    0.336476          15     22721           munmap
  1.07    0.317201         881       360           unlink
  0.68    0.200849           9     23378       657 mmap
  0.41    0.120549           5     22468           fallocate
  0.25    0.073333          82       897           close
  0.05    0.014432          16       899         2 openat
  0.05    0.013738          71       194           fsync
  0.03    0.008515          24       353           ftruncate
  0.02    0.005233           3      1668           fcntl
  0.02    0.005074           8       608           write
  0.01    0.002663          21       129           read
  0.01    0.002155           5       458           msync
  0.01    0.002117           4       472           stat
  0.00    0.001165           8       141           mprotect
  0.00    0.000150          14        11         2 rename
  0.00    0.000093           2        43           fstat
  0.00    0.000061           6        10        10 mkdir
  0.00    0.000049           8         6         6 rmdir
  0.00    0.000034           9         4           madvise
  0.00    0.000004           4         1           lseek
------ ----------- ----------- --------- --------- ----------------
100.00   29.562695                 75277       677 total
